,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,codrington,0,AU,1580270296,63,-38.27,141.97,68.23,4.43
1,balkanabat,11,TM,1580270719,42,39.51,54.37,40.32,13.98
2,jamestown,90,US,1580270720,86,42.1,-79.24,30.99,11.41
3,tuktoyaktuk,90,CA,1580270720,75,69.45,-133.04,-18.4,5.82
4,yumen,0,CN,1580270288,32,40.28,97.2,26.4,11.25
5,bredasdorp,100,ZA,1580270720,88,-34.53,20.04,66.2,4.81
6,tiksi,99,RU,1580270247,87,71.69,128.87,-15.88,6.51
7,mataura,96,NZ,1580270720,89,-46.19,168.86,55.0,11.99
8,hilo,20,US,1580270150,57,19.73,-155.09,78.8,5.82
9,punta%20arenas,40,CL,1580270720,81,-53.15,-70.92,44.6,23.04
10,hamilton,90,US,1580270227,80,39.18,-84.53,34.0,0.63
11,new%20norfolk,40,AU,1580270721,34,-42.78,147.06,80.6,11.41
12,ahipara,100,NZ,1580270248,88,-35.17,173.17,69.22,11.52
13,rikitea,100,PF,1580270679,78,-23.12,-134.97,79.79,6.22
14,butaritari,100,KI,1580270163,78,3.07,172.79,83.08,10.54
15,lebu,0,CL,1580270721,66,-37.62,-73.65,53.08,10.63
16,cape%20town,75,ZA,1580269982,100,-33.93,18.42,68.0,8.05
17,bonavista,100,CA,1580270562,88,48.65,-53.11,28.99,1.99
18,mar%20del%20plata,100,AR,1580270468,60,-38.0,-57.56,73.4,6.93
19,laguna,1,US,1580270043,100,38.42,-121.42,55.4,4.7
20,padang,100,ID,1580270722,91,-0.95,100.35,68.32,0.4
21,hermanus,89,ZA,1580270235,97,-34.42,19.23,64.0,3.0
22,arraial%20do%20cabo,32,BR,1580270048,90,-22.97,-42.03,77.77,5.01
23,victoria,0,HK,1580270167,40,22.29,114.16,60.01,8.05
24,yellowknife,90,CA,1580270426,83,62.46,-114.35,-2.0,4.7
25,antofagasta,20,CL,1580270503,83,-23.65,-70.4,72.0,4.7
26,atuona,32,PF,1580270239,79,-9.8,-139.03,80.91,13.62
27,grindavik,0,IS,1580270292,92,63.84,-22.43,28.4,8.05
28,rocky%20mountain%20house,14,CA,1580270722,87,52.37,-114.92,21.43,3.47
29,kaitangata,100,NZ,1580270277,74,-46.28,169.85,62.01,17.0
30,kupino,57,RU,1580270722,96,54.37,77.3,-12.3,12.26
31,warrington,100,GB,1580270182,75,53.39,-2.58,42.8,23.04
32,vaini,75,TO,1580270486,94,-21.2,-175.2,78.8,5.82
33,albany,90,US,1580270433,79,42.6,-73.97,32.0,10.29
34,north%20myrtle%20beach,1,US,1580270723,93,33.82,-78.68,43.0,1.01
35,santa%20isabel%20do%20rio%20negro,57,BR,1580270263,90,-0.41,-65.02,76.86,1.81
36,qaanaaq,100,GL,1580270244,92,77.48,-69.36,-13.77,5.79
37,pisco,90,PE,1580270288,73,-13.7,-76.22,77.0,4.7
38,esperance,75,AU,1580270254,69,-33.87,121.9,75.2,8.05
39,lavrentiya,0,RU,1580270280,67,65.58,-171.0,-12.53,8.75
40,ostrovnoy,18,RU,1580270267,93,68.05,39.51,3.87,4.25
41,hobart,40,AU,1580270724,34,-42.88,147.33,80.6,11.41
42,ribeira%20grande,78,PT,1580270724,94,38.52,-28.7,60.12,19.71
43,bethel,90,US,1580270724,74,41.37,-73.41,37.99,8.05
44,jaypur,0,IN,1580270724,49,18.85,82.58,73.06,2.55
45,kavieng,25,PG,1580270261,75,-2.57,150.8,84.22,6.96
46,belaya%20gora,94,RU,1580270724,84,68.53,146.42,-23.37,6.42
47,isla%20vista,1,US,1580270629,54,34.41,-119.86,66.2,8.05
48,knysna,40,ZA,1580270495,88,-34.04,23.05,62.6,6.93
49,jalu,0,LY,1580270297,77,29.03,21.55,52.18,6.44
50,dikson,100,RU,1580270243,95,73.51,80.55,-18.06,14.38
51,ushuaia,75,AR,1580270725,81,-54.8,-68.3,42.8,28.86
52,ahuimanu,75,US,1580270214,74,21.44,-157.84,80.6,10.29
53,clyde%20river,1,CA,1580270234,74,70.47,-68.59,-23.8,4.7
54,dar%20es%20salaam,40,TZ,1580270498,94,-6.82,39.27,78.8,8.05
55,luderitz,0,NA,1580270272,78,-26.65,15.16,65.01,27.81
56,ponta%20do%20sol,20,PT,1580270247,72,32.67,-17.1,59.0,6.93
57,busselton,32,AU,1580270238,28,-33.65,115.33,84.0,7.54
58,castro,33,BR,1580270221,99,-24.79,-50.01,63.79,5.88
59,norman%20wells,20,CA,1580270190,68,65.28,-126.83,-20.2,6.93
60,gramado,17,BR,1580270726,94,-29.38,-50.87,75.0,8.05
61,eldorado,0,BR,1580270476,84,-23.79,-54.28,73.26,4.12
62,merauke,10,ID,1580270296,50,-8.47,140.33,92.5,12.28
63,faanui,81,PF,1580270240,70,-16.48,-151.75,83.43,5.01
64,cherskiy,100,RU,1580270166,96,68.75,161.3,-22.68,5.7
65,mahebourg,75,MU,1580270726,94,-20.41,57.7,77.0,1.9
66,yarensk,100,RU,1580270726,94,62.17,49.09,-5.04,4.09
67,bathurst,0,AU,1580270527,20,-33.42,149.58,90.0,3.0
68,baykit,100,RU,1580270262,96,61.67,96.37,9.23,2.82
69,georgetown,20,MY,1580270174,59,5.41,100.34,89.6,10.29
70,port%20hardy,90,CA,1580270259,81,50.7,-127.42,44.6,21.92
71,hun,0,LY,1580270714,52,29.13,15.95,53.35,6.42
72,cabo%20san%20lucas,5,MX,1580270105,77,22.89,-109.91,66.2,4.7
73,okhotsk,0,RU,1580270267,70,59.38,143.3,-5.03,13.33
74,kodiak,90,US,1580270202,73,57.79,-152.41,24.8,23.04
75,boa%20vista,0,BR,1580270500,65,2.82,-60.67,82.4,8.05
76,itambacuri,100,BR,1580270727,96,-18.03,-41.69,68.76,1.63
77,margate,33,GB,1580270502,86,51.38,1.39,39.0,10.29
78,erzin,75,TR,1580270727,93,36.96,36.2,51.01,4.63
79,pangnirtung,7,CA,1580270284,88,66.15,-65.71,-28.75,4.25
80,saint-philippe,10,RE,1580270131,57,-21.36,55.77,79.0,8.05
81,chany,66,RU,1580270728,96,55.31,76.76,-11.33,11.05
82,bani%20walid,0,LY,1580270728,58,31.76,13.99,52.12,6.49
83,mvomero,20,TZ,1580270728,88,-6.25,38.67,78.8,3.2
84,nokaneng,0,BW,1580270728,76,-19.67,22.27,71.55,13.31
85,torrox,63,ES,1580270729,76,36.76,-3.95,55.4,12.75
86,chokurdakh,100,RU,1580270176,97,70.63,147.92,-19.61,10.6
87,fortuna,90,US,1580270237,93,40.6,-124.16,50.0,3.36
88,lagoa,12,PT,1580270284,91,39.05,-27.98,62.64,22.48
89,lesnoye,100,RU,1580270729,97,58.28,35.52,18.59,5.14
